directory	hardness	fn	Quality	THRES	HIGHTHRES	NLIM	NLIMHOLES	numWhitePixels	numBlackPixels	ratio	numLargeBlobs	perimeterLength	axisRatio	countLargeHoles	medianLargeHoleAreas	maxLargeHoleAreas	meanDistances	stdDistances	modeDistances	medianDistances	skewnessDistances	erosionslope	frct01	medianEccentricity	medianArea	sumEdgesLow	sumEdgesHigh	areaOverEdgeLow	areaOverEdgeHigh	stdRaw	areaHigh	stdHigh	compactnessCenter	brightnessCenter	blackCoreFraction	intensityKurtosis	intensitySkewness	intensityRatio	skeletonLength	skeletonBranchPoints	skeletonEndPoints	fractalDim	log10Entropy	waveletEntropy	stdRays	lowRays	stdMaxRays	corrGLCM	energyGLCM	meanStd5	meanStd25	ms25over5	ms100over25	numContours
111924_250ppm	250	DSC_0229.jpg	1	70	200	1400	1000	977941	324386	0.331703037	3	8765	1.094191843	20	1571	265174	677.3937937	46.27431647	660.175	669.0682731	0.77010596	0.096628835	14	0.866872446	958	0.121427714	0.099630441	8.23535225	10.03709299	48.81702092	188012	11.22367095	0.069517951	50.00260245	0.018583843	1.834777986	0.189490214	1.185163498	0.131891097	0.014825075	0.004767454	1.907744	-2.51E-05	2.28E-05	9.856388548	134.1544594	47.91195867	0.966914284	0.887483403	2.41E-06	3.72E-06	1.544815203	1.330801136	0.00471559
111924_250ppm	250	DSC_0230.jpg	1	70	200	1400	1000	968358	346025	0.357331689	3	8143	1.04799349	26	1650.5	298744	681.0766246	36.61351455	685.05	683.9228924	-0.540269451	0.098815624	13	0.862026482	955	0.124156205	0.10200501	8.05436991	9.803440026	49.08926508	191102	11.16874131	0.103703763	56.01162698	0.015982076	1.813119715	0.18565101	1.168397136	0.133808515	0.014780452	0.004633888	1.922625866	-3.59E-05	2.30E-05	9.378875605	134.5251781	34.36531789	0.965106646	0.875184571	2.47E-06	3.81E-06	1.541446946	1.330201491	0.004984583
111924_250ppm	250	DSC_0231.jpg	1	70	200	1400	1000	803095	368534	0.458892161	2	8916	1.06887305	21	1419	331899	635.6389291	46.27556492	647.5	635.2488441	0.199744336	0.094168809	14	0.854898031	1085	0.122821217	0.104432528	8.141915747	9.575560615	49.33985576	161611	11.6156083	0.050088734	46.49410697	0.020409564	1.811871904	0.16872563	1.120637243	0.126006931	0.012781044	0.0045519	1.907687892	-3.05E-05	2.76E-05	11.71657659	129.259396	39.85538155	0.957477572	0.812535728	2.61E-06	4.10E-06	1.56909302	1.36083164	0.004374505
111924_250ppm	250	DSC_0232.jpg	1	70	200	1400	1000	1243154	54661	0.043969613	1	8270	1.06328117	22	1848	12710	697.2983648	42.13074453	683.65	697.7678189	-0.004789793	0.114994281	12	0.84984275	842	0.134575377	0.110770165	7.430779858	9.027701613	48.51487579	234433	11.88917779	0.71567855	131.266326	0.002137371	1.899387561	0.249654421	1.150898871	0.149906719	0.019300613	0.00480031	1.959300491	-3.27E-05	1.79E-05	6.145556261	142.5915594	36.34513032	0.956351048	0.804346604	2.43E-06	3.46E-06	1.423220088	1.208367328	0.005154524
111924_250ppm	250	DSC_0233.jpg	1	70	200	1400	1000	1071873	257905	0.240611528	4	7788	1.029847763	25	1614	205770	688.8172473	38.84059177	695.8	686.2114552	0.276921797	0.08297121	15	0.847610436	961.5	0.101272457	0.077193997	9.874353092	12.95437528	47.9710823	179282	11.37181693	0.173268824	60.29158245	0.013673544	1.926657237	0.303649628	1.191599452	0.110342187	0.009877271	0.00298855	1.921771755	-1.51E-05	2.08E-05	10.17911323	127.8986009	36.67666449	0.971935354	0.858176343	2.14E-06	3.48E-06	1.624722667	1.298272209	0.00298948
111924_250ppm	250	DSC_0234.jpg	1	70	200	1400	1000	882878	303200	0.343422308	4	7578	1.090645156	18	1794.5	269864	646.4034926	38.06123137	672.345	650.7640728	-0.240875133	0.095199337	15	0.841940204	928	0.122431977	0.102132899	8.167800828	9.791164393	48.94409863	173719	11.43991159	0.659998409	118.0694677	0.002850627	1.841599103	0.203403074	1.054397215	0.130129301	0.014017315	0.00472116	1.909482641	-5.29E-05	2.52E-05	8.612689718	141.6529349	37.72713205	0.965782532	0.877755207	2.53E-06	3.89E-06	1.53745567	1.3643339	0.004563751
111924_250ppm	250	DSC_0235.jpg	1	70	200	1400	1000	1157868	73211	0.063229142	2	9945	1.087183492	24	1627.5	26337	680.2853818	38.97447275	684.475	682.2328959	-0.072274761	0.113667879	12	0.844240208	771	0.137969378	0.10847804	7.24798514	9.218455684	47.98050662	213355	11.42034573	0.558329222	107.1922397	0.004077527	1.889615411	0.209180066	1.122969357	0.145550973	0.017223705	0.004645619	1.942666605	-1.39E-05	1.92E-05	6.989195398	138.2618852	37.32377179	0.962850603	0.868702097	2.51E-06	3.66E-06	1.454117537	1.213899159	0.005255346
111924_250ppm	250	DSC_0236.jpg	1	70	200	1400	1000	715568	158488	0.221485589	1	8377	1.134241316	26	1808.5	70672	529.172115	90.0013388	515.25	536.7032406	-1.017028107	0.083491017	20	0.853173083	851	0.111887597	0.085724245	8.937541116	11.66531121	48.2789514	100853	11.32837075	0.750429731	97.73002547	0.002474685	1.929860768	0.395242601	0.92613519	0.116756683	0.011851905	0.004538555	1.906424709	-4.86E-05	3.12E-05	12.88572811	112.1250058	111.5564215	0.961416121	0.890249117	2.57E-06	3.96E-06	1.540919239	1.387454818	0.003860827
111924_250ppm	250	DSC_0237.jpg	1	70	200	1400	1000	634972	56267	0.088613356	1	11786	1.209344352	24	1577	6555	406.1550824	164.4424503	567.25	464.1996502	-0.302258628	0.073538046	36	0.89546586	1271	0.103993668	0.092419041	9.615970095	10.82028109	49.54727548	150214	10.49493043	0.252860849	68.83698334	0.010808892	1.696022721	0.081704227	1.09584892	0.110452291	0.011229605	0.004646087	1.90748853	-1.06E-05	3.50E-05	20.50674247	116.283947	82.83871069	0.968256231	0.89426532	2.69E-06	4.09E-06	1.523912793	1.440525566	0.00449153
111924_250ppm	250	DSC_0238.jpg	1	70	200	1400	1000	660586	52371	0.079279609	2	7378	1.202931308	16	1660	17868	486.6780611	92.96032347	563.95	495.1192186	-0.494042137	0.071691498	21	0.896582671	1087	0.093637583	0.10083978	10.67947256	9.916721351	47.84150535	125018	10.94235624	0.827840082	146.812797	0.001138874	1.803918386	0.130521731	1.080633895	0.106565143	0.010139322	0.003484546	1.926589662	-3.05E-05	3.37E-05	10.80098352	137.790687	88.29878194	0.965140882	0.90027386	2.65E-06	3.98E-06	1.504540715	1.3371654	0.004003393
