fn	sample	Quality	THRES	HIGHTHRES	NLIM	NLIMHOLES	numWhitePixels	numBlackPixels	ratio	numLargeBlobs	perimeterLength	axisRatio	countLargeHoles	medianLargeHoleAreas	maxLargeHoleAreas	meanDistances	stdDistances	modeDistances	medianDistances	skewnessDistances	erosionslope	frct01	medianEccentricity	medianArea	sumEdgesLow	sumEdgesHigh	areaOverEdgeLow	areaOverEdgeHigh	stdRaw	areaHigh	stdHigh	compactnessCenter	brightnessCenter	blackCoreFraction	intensityKurtosis	intensitySkewness	intensityRatio	skeletonLength	skeletonBranchPoints	skeletonEndPoints	fractalDim	log10Entropy	waveletEntropy	stdRays	lowRays	stdMaxRays	corrGLCM	energyGLCM	meanStd5	meanStd25	ms25over5	ms100over25	numContours
DSC_0378.jpg	200	1	70	200	1400	1000	568708	3294	0.005792076	134	91754	1.0866645	2	1647	1931	611.7130336	203.5823802	679.75	634.2965633	-0.318589936	0.13027828	13	0.854481915	1261	0.295454125	0.076811605	3.384620203	13.01886605	60.99836528	334226	11.15619872	0.308925942	84.68106968	0.008119925	1.467039572	0.012091014	0.866618424	0.154425622	0.009014884	0.014199532	1.796344433	-3.23E-05	2.44E-05	13.30665719	133.7576513	53.31094699	0.965351369	0.86460642	3.64E-06	7.04E-06	1.934707121	1.338941416	0.001933627
DSC_0379.jpg	200	1	70	200	1400	1000	497307	5578	0.011216412	118	77038	1.0711964	3	1601	2949	571.6486534	217.3867254	797.85	589.1094205	-0.47611501	0.127128313	13	0.814822497	1071	0.2971793	0.079634538	3.364971918	12.5573655	60.51326453	306437	11.16288587	0.323661656	85.85473384	0.0078448	1.481507012	-0.03999535	0.793798798	0.154577663	0.008861016	0.013924279	1.781775	-2.47E-05	2.73E-05	11.16055273	138.7871997	50.74693314	0.963754733	0.871243705	3.85E-06	7.37E-06	1.915453875	1.347877725	0.002022623
DSC_0380.jpg	200	1	70	200	1400	1000	543632	6951	0.012786223	107	77216	1.030764651	4	1127.5	3676	528.4919913	208.2069989	503.5	527.6876562	-0.163355916	0.122726219	13	0.779856319	1042	0.269381733	0.074721591	3.712204204	13.38301261	60.91037793	311109	11.22424045	0.347270745	86.71556698	0.007485946	1.477020942	-0.051910885	0.785439439	0.144139757	0.008651616	0.013040574	1.79615645	-5.71E-05	2.72E-05	12.68329755	133.5840731	71.50653964	0.967005943	0.865816972	3.59E-06	6.97E-06	1.938890809	1.366969652	0.001751211
DSC_0381.jpg	200	1	70	200	1400	1000	538448	0	0	125	77235	1.769370929	0	0	0	789.4866853	701.3760433	640.5	590.7751126	2.049669637	0.117079829	14	0.818472856	1211	0.284131727	0.073352833	3.519494326	13.63273872	62.91691032	312879	11.34384946	0.333614489	86.87845343	0.007632218	1.423095272	0.030297192	0.80186458	0.15932182	0.012368917	0.018741137	1.814391384	-2.36E-05	2.61E-05	14.38083667	130.521115	151.6362613	0.966252141	0.820430287	3.46E-06	6.77E-06	1.956735884	1.416770863	0.002292786
DSC_0382.jpg	200	1	70	200	1400	1000	322827	0	0	55	26220	1.123405751	0	0	0	427.2064702	201.7992564	585.2	468.0260866	-0.214126544	0.069756247	19	0.77886025	1060.5	0.156835959	0.090878315	6.376088774	11.00372518	54.59575099	283717	10.69689471	0.328818253	85.49922405	0.007832744	2.818161825	-1.137992014	0.795472287	0.103628314	0.008770989	0.012175439	1.796488673	-4.83E-05	5.23E-05	17.324158	157.4552601	84.61549537	0.959442762	0.729473173	4.89E-06	1.17E-05	2.402715768	1.569964087	0.001540108
DSC_0383.jpg	200	1	70	200	1400	1000	440402	2104	0.004777453	80	48718	1.034280829	2	1052	1075	442.0527005	184.548754	340.3	422.3830654	0.099636048	0.094581087	16	0.71053024	741	0.195995161	0.08012218	5.102166781	12.48093842	62.98918148	310043	11.28361596	0.37836913	91.02329246	0.006787658	1.508428631	-0.364417643	0.766778372	0.122661489	0.011240093	0.014372396	1.808134491	-3.21E-05	3.55E-05	21.71201669	133.3581368	65.44885012	0.968088953	0.861315435	3.51E-06	7.37E-06	2.098018407	1.418600357	0.001492329
DSC_0384.jpg	200	1	70	200	1400	1000	444308	0	0	87	59636	1.052240244	0	0	0	451.090918	181.8566153	411.5	432.0868997	0.168774069	0.108751812	15	0.838954008	1009.5	0.230313845	0.079135961	4.341901379	12.63648019	63.49944551	294699	10.78672124	0.395624771	93.15984944	0.006446249	1.449265521	-0.29977641	0.706581897	0.143220645	0.015479657	0.019016208	1.795190599	-3.26E-05	3.61E-05	19.38044411	132.6436927	63.34550681	0.962616917	0.822035794	3.69E-06	7.55E-06	2.043245964	1.419501973	0.001758613
DSC_0385.jpg	200	1	70	200	1400	1000	341581	0	0	56	31359	1.138366088	0	0	0	463.8664605	213.419256	679.4	456.0329544	-0.146293941	0.076280589	20	0.696548058	1089	0.222438731	0.077145142	4.495619971	12.96257901	62.88450434	279114	10.46046495	0.376074293	94.54155526	0.006573982	1.566589001	-0.45689408	0.742459061	0.134776819	0.014840577	0.021844369	1.814382019	-1.75E-05	4.14E-05	19.83422961	137.0708088	66.52550607	0.963290959	0.814941509	3.74E-06	7.75E-06	2.075708187	1.47838666	0.001481287
DSC_0386.jpg	200	1	70	200	1400	1000	331875	0	0	66	35019	1.195022154	0	0	0	457.4212739	208.8743356	730.4	441.7830096	-0.046566599	0.087724595	17	0.722369051	1241.5	0.242948093	0.083253876	4.116105584	12.01145276	63.06945543	274502	10.65419491	0.361552295	86.82482972	0.007321392	1.53127073	-0.416051309	0.707966923	0.1483173	0.017526351	0.024364002	1.807582355	-6.49E-05	4.16E-05	22.98608077	127.3526059	96.43282744	0.960705641	0.828810534	4.04E-06	8.19E-06	2.027379292	1.432119108	0.00167324
DSC_0387.jpg	200	1	70	200	1400	1000	395797	0	0	79	47858	1.205357671	0	0	0	408.6789635	196.7795189	340.05	387.566757	0.188561862	0.099209949	17	0.755772313	1732.5	0.230637951	0.071700873	4.335799877	13.94683153	63.75994073	276882	10.75339521	0.430521398	90.37516615	0.006243853	1.424413341	-0.263281224	0.689460312	0.148335817	0.018457583	0.021625345	1.793039823	-3.45E-05	3.82E-05	18.12184793	123.0137049	61.44394536	0.960277341	0.824854968	3.71E-06	7.45E-06	2.006431264	1.420147581	0.001447486
DSC_0388.jpg	200	1	70	200	1400	1000	374548	0	0	63	41012	1.117034321	0	0	0	396.1080254	189.6896975	339.55	351.4617213	0.294284647	0.091584523	19	0.821125121	1449	0.226639141	0.068758465	4.412300514	14.54366373	62.7124839	256628	10.21452212	0.410841485	88.07920603	0.006639174	1.49161676	-0.329346797	0.669393627	0.142409834	0.01621253	0.02155381	1.798673638	-3.03E-05	4.19E-05	15.81067509	130.4552641	56.62414296	0.960779207	0.825289715	3.82E-06	7.53E-06	1.97000115	1.472120819	0.001711302
DSC_0389.jpg	200	1	70	200	1400	1000	345939	0	0	53	34557	1.058121541	0	0	0	395.3457638	183.6139217	590.65	370.5288298	0.031654317	0.084343193	19	0.84566328	1941	0.204350166	0.067953818	4.893560984	14.71587668	63.78866412	249353	10.46449268	0.414774852	87.7700222	0.006622109	1.515321304	-0.410228193	0.626357145	0.124298119	0.012469404	0.017552434	1.804888077	-3.34E-05	4.62E-05	16.36267409	133.140582	63.25569866	0.954034822	0.722381272	3.81E-06	7.66E-06	2.010983044	1.500787861	0.001220752
DSC_0390.jpg	200	1	70	200	1400	1000	387719	1234	0.003182717	63	46139	1.332628666	1	1234	1234	389.7039956	178.2480072	361.2	368.1353985	0.256598969	0.09789074	17	0.739078092	1425	0.209385713	0.063000569	4.775875044	15.87287257	65.65863428	255157	10.04772487	0.41278089	84.47662168	0.006883913	1.396185187	-0.291721734	0.619652495	0.131456473	0.014409848	0.017384437	1.796376685	-8.73E-06	4.30E-05	19.64730013	121.0934378	68.37522391	0.958133538	0.736031633	3.67E-06	7.42E-06	2.021237307	1.471165295	0.001078
DSC_0391.jpg	200	1	70	200	1400	1000	335989	0	0	63	36485	1.176531338	0	0	0	396.3618389	195.0073561	315.9	347.6000343	0.190633741	0.089786273	19	0.819441644	1245	0.228779915	0.06877438	4.371013075	14.54029824	65.26089755	244911	10.26130591	0.398066441	85.60008753	0.006971134	1.413627797	-0.320457493	0.635458972	0.13838102	0.016069332	0.020727139	1.810783966	-2.57E-05	4.56E-05	18.84224407	121.0682817	75.46732833	0.96435431	0.839400209	3.90E-06	7.73E-06	1.984173621	1.479127397	0.001214815
DSC_0392.jpg	200	1	70	200	1400	1000	444361	0	0	74	50486	1.324313651	0	0	0	387.2835504	180.2219539	273.9	359.2687731	0.37526992	0.095760204	18	0.726546634	1062	0.180350105	0.058337792	5.544770823	17.14154681	64.35505397	261226	10.83810558	0.452268785	91.21824418	0.005932302	1.377264367	-0.209297623	0.641832828	0.107088319	0.008072645	0.010883227	1.806922713	-6.22E-05	3.98E-05	16.08107805	124.617871	73.78234396	0.969394559	0.844347116	3.33E-06	6.95E-06	2.089372716	1.477996659	0.000860418
DSC_0393.jpg	200	1	70	200	1400	1000	258499	0	0	35	16651	1.011957234	0	0	0	500.8348028	173.4969049	632	564.1059525	-1.029996651	0.055580486	20	0.707917869	1316	0.175329429	0.084267936	5.703549061	11.86690991	58.3506394	258211	10.84612626	0.315626965	81.33913466	0.008381634	2.287770955	-0.918095081	0.714267068	0.102898975	0.008989751	0.014075159	1.812966954	-7.23E-05	5.47E-05	20.46977011	142.7545432	74.17138008	0.957742711	0.749368627	4.20E-06	9.06E-06	2.158398474	1.509066926	0.001444607
DSC_0394.jpg	200	1	70	200	1400	1000	306209	0	0	53	27194	1.10541559	0	0	0	411.2926657	191.8245724	625.1	371.5672534	0.048534068	0.075046782	20	0.695907523	1260	0.19922744	0.075112941	5.019388896	13.31328519	60.8362486	249930	10.67096774	0.377965225	84.81539808	0.007290638	1.763227342	-0.598089479	0.734554029	0.120948414	0.012203538	0.017422287	1.820631842	-5.45E-05	4.94E-05	20.48074764	133.2236816	86.27489481	0.967769566	0.885080973	4.08E-06	8.42E-06	2.063485244	1.503526685	0.00161391
